Tipo_Entidad;Nombre_Tipo_Entidad;Codigo_Entidad;Nombre_Entidad;Fecha_Corte;Tipo_de_persona;Sexo;Tamaño_de_empresa;Tipo_de_crédito;Tipo_de_garantía;Producto de crédito;Plazo de crédito;Tasa_efectiva_promedio_ponderada;margen_adicional;Montos_desembolsados;Numero_de_creditos_desembolsados;Grupo_Etnico;Antiguedad_de_la_empresa;Tipo_de_Tasa;Rango_monto_desembolsado;Clase_deudor;Codigo_CIIU;Codigo_Municipio
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Femenino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda vis (colocación en pesos);Más de 15 años y hasta 20 años;14;0;110,150,000;3;Sin información (1);No aplica(1);FS;Hasta 135 SMLMV;Deudor nuevo en la entidad;10;25260
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Masculino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda no vis (colocación en pesos);Más de 7 años y hasta 15 años;15.45;0;550,205,978;1;Sin información (1);No aplica(1);FS;Mayor a 335 SMLMV y menor o igual a 500 SMLMV;Deudor nuevo en la entidad;10;11001
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Masculino;No aplica;Vivienda;Garantia idónea o no idónea;Construcción de vivienda individual vis (colocación en pesos);Más de 7 años y hasta 15 años;16.45;0;67,348,000;1;Sin información (1);No aplica(1);FS;Hasta 135 SMLMV;Deudor nuevo en la entidad;10;68001
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Femenino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda vis (colocación en uvr);A más de 20 años;7.6;0;183,549,773;2;Sin información (1);No aplica(1);FS;Hasta 135 SMLMV;Deudor de la entidad;10;13001
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Femenino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda vis (colocación en pesos);Más de 7 años y hasta 15 años;16.05;0;34,364,220;1;Sin información (1);No aplica(1);FS;Hasta 135 SMLMV;Deudor nuevo en la entidad;10;73001
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Femenino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda vis (colocación en pesos);Más de 15 años y hasta 20 años;14.52;0;286,714,265;3;Sin información (1);No aplica(1);FS;Hasta 135 SMLMV;Deudor de la entidad;10;47001
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Femenino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda vis (colocación en pesos);Más de 15 años y hasta 20 años;15.34;0;174,253,692;3;Sin información (1);No aplica(1);FS;Hasta 135 SMLMV;Deudor nuevo en la entidad;10;25754
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Masculino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda vis (colocación en uvr);A más de 20 años;7.48;0;113,044,148;2;Sin información (1);No aplica(1);FS;Hasta 135 SMLMV;Deudor nuevo en la entidad;10;76834
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Masculino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda vis (colocación en uvr);A más de 20 años;7.6;0;83,500,000;1;Sin información (1);No aplica(1);FS;Hasta 135 SMLMV;Deudor de la entidad;10;23001
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Masculino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda vis (colocación en pesos);Más de 7 años y hasta 15 años;14;0;28,000,000;1;Sin información (1);No aplica(1);FS;Hasta 135 SMLMV;Deudor de la entidad;10;5088
